id,mz,rt,ms1_isotopes,S110,S111,S134,S144,S98,S99
263.888@0.5613,263.888,0.5613,NA,50.209923,96.106026,44.692257,81.17379,57.57838,61.93858
186.1147@0.5622,186.1147,0.5622,NA,943.53674,262.66467,410.06573,157.59058,520.16895,138.21983
187.118@0.5622,187.118,0.5622,NA,241.90274,40.997757,113.80748,21.542595,45.357582,14.175289
582.6561@0.5632,582.6561,0.5632,NA,18.342403,40.865955,36.82453,36.323154,53.98655,31.879166
309.2028@0.5641,309.2028,0.5641,NA,21.962406,40.381546,65.68958,10.720776,582.65814,18.00693
494.7157@0.5641,494.7157,0.5641,NA,23.174328,66.8153,60.428246,49.873917,68.78702,46.57955
684.6508@0.565,684.6508,0.565,NA,55.55118,17.246775,46.521244,31.561182,63.144352,39.216988
173.1755@0.566,173.1755,0.566,NA,29.032291,11.53417,24.783604,13.88331,99.63683,10.132027
229.0972@0.566,229.0972,0.566,NA,36.280384,13.391076,57.80294,29.658173,39.127373,37.357487
366.7966@0.566,366.7966,0.566,NA,107.77511,97.07036,106.57363,65.53866,119.92227,77.02217
391.8053@0.566,391.8053,0.566,NA,163.57188,162.07257,150.18243,112.052444,165.63458,97.98787
496.7109@0.566,496.7109,0.566,NA,309.58636,281.74554,285.76657,248.35686,353.9127,177.84064
537.728@0.5669,537.728,0.5669,NA,25.715315,15.830235,42.123093,46.160618,61.98124,36.186005
610.6506@0.5669,610.6506,0.5669,NA,61.259293,72.358,69.93734,67.09293,122.94083,71.35216
105.9533@0.5678,105.9533,0.5678,NA,162.5181,135.1157,118.73212,150.07309,46.516373,115.23955
201.1021@0.5678,201.1021,0.5678,NA,158.94527,22.739042,58.765987,51.352207,57.822495,41.137222
291.8846@0.5678,291.8846,0.5678,NA,60.487198,67.921844,53.793694,57.78226,91.80148,61.56369
359.8176@0.5678,359.8176,0.5678,NA,113.863304,113.49971,112.68656,82.07656,142.91435,87.02934
362.8015@0.5678,362.8015,0.5678,NA,45.137066,52.37466,57.092308,41.46701,71.06093,44.829365
432.8253@0.5678,432.8253,0.5678,NA,34.743,54.44377,39.854744,41.641766,65.667725,37.4769
464.7217@0.5678,464.7217,0.5678,NA,109.26151,100.77972,94.53295,85.63968,137.30882,87.49336
642.6393@0.5678,642.6393,0.5678,NA,55.28128,41.388126,43.12875,44.408848,82.65414,43.15402
103.9553@0.5687,103.9553,0.5687,NA,459.31775,368.32977,404.22836,483.16797,429.91702,319.49536
288.8903@0.5687,288.8903,0.5687,NA,313.86536,325.93857,336.37112,254.33772,500.4934,263.5989
318.7914@0.5687,318.7914,0.5687,NA,153.44414,141.34393,143.00363,108.32912,189.021,112.43284
433.8186@0.5687,433.8186,0.5687,NA,117.61426,123.16228,122.25637,109.90627,231.93791,136.7587
140.9615@0.5697,140.9615,0.5697,NA,205.64043,209.86617,184.7687,211.77618,257.9898,153.76575
144.9818@0.5697,144.9818,0.5697,NA,3571.4001,2986.5417,3328.34,3376.2512,3437.783,2620.2043
146.9799@0.5697,146.9799,0.5697,NA,1698.5316,1445.3993,1765.6302,1630.437,1638.3612,1206.7555
180.9893@0.5697,180.9893,0.5697,NA,459.3883,413.71387,414.55826,431.60257,605.7702,345.8051
246.8617@0.5697,246.8617,0.5697,NA,291.15408,261.4351,243.76007,244.20778,392.4226,200.9208
285.8928@0.5697,285.8928,0.5697,NA,367.06024,410.02563,412.38245,373.7261,568.97375,305.4176
286.8919@0.5697,286.8919,0.5697,NA,209.91327,222.75319,201.1457,198.31178,287.7049,179.56216
289.8892@0.5697,289.8892,0.5697,NA,250.70854,234.44916,255.79628,246.34392,334.9144,189.81557
328.9147@0.5697,328.9147,0.5697,NA,452.97897,448.017,422.11755,407.8235,640.71436,356.207
364.797@0.5697,364.797,0.5697,NA,306.48517,312.6982,306.32672,267.94498,425.4287,256.03162
393.7941@0.5697,393.7941,0.5697,NA,32.946243,30.205444,35.39357,35.844215,58.20518,36.47656
97.9684@0.5706,97.9684,0.5706,NA,423.55685,365.57425,373.14148,321.23883,517.6524,296.803
89.5066@0.5706,89.5066,0.5706,NA,245.7158,212.80896,221.54314,67.76892,281.44394,220.0361
139.9628@0.5706,139.9628,0.5706,NA,425.319,393.37857,440.8669,379.7818,566.5849,297.3431
141.9583@0.5706,141.9583,0.5706,NA,8317.647,8111.1274,7833.335,7257.5044,10302.976,7139.9736
181.9884@0.5706,181.9884,0.5706,NA,180.08028,173.93076,208.18451,136.10303,232.33405,140.12225
182.9848@0.5706,182.9848,0.5706,NA,8168.984,8502.98,7798.813,7418.461,10831.06,7020.4507
287.8885@0.5706,287.8885,0.5706,NA,3564.7368,3221.5723,3425.713,3064.9675,4661.0337,2875.5398
390.7969@0.5706,390.7969,0.5706,NA,40.18817,49.833073,42.20827,44.640133,83.52321,43.808445
392.7922@0.5706,392.7922,0.5706,NA,255.35315,269.46863,258.43402,247.9379,432.10562,232.59448
431.8233@0.5706,431.8233,0.5706,NA,25.238285,23.198946,18.116776,19.575382,43.45296,22.751434
538.7215@0.5706,538.7215,0.5706,NA,223.59383,162.0883,227.9141,204.3359,332.71298,186.365
140.9949@0.5715,140.9949,0.5715,NA,28.734732,31.856916,41.622684,36.573814,55.27493,19.039291
145.9541@0.5715,145.9541,0.5715,NA,39.445335,35.63587,36.48649,33.85476,71.32357,36.340897
143.959@0.5724,143.959,0.5724,NA,190.16647,172.70874,133.09589,140.80435,244.5764,162.01082
184.9852@0.5724,184.9852,0.5724,NA,1512.132,1209.0642,1334.668,923.5444,1641.819,784.35156
186.9807@0.5724,186.9807,0.5724,NA,330.66824,308.4212,255.70085,403.17447,458.02798,281.5925
99.9687@0.5734,99.9687,0.5734,NA,35.088062,26.891344,31.37693,30.232288,48.907863999999996,38.342514
159.9685@0.5771,159.9685,0.5771,NA,40.00859,45.518814,61.20031,38.316246,78.66855,43.970737
200.9948@0.5808,200.9948,0.5808,NA,52.587322,52.211674,38.20194,52.164635,105.17074,64.904076
172.9559@0.5817,172.9559,0.5817,NA,77.39891,58.515816,70.15293,73.06735,121.284195,114.16218
160.9641@0.5826,160.9641,0.5826,NA,516.35925,334.18265,542.7917,599.56647,431.2067,432.86115
201.9905@0.5826,201.9905,0.5826,NA,154.48936,651.18506,154.44191,192.14925,574.2696,351.0469
199.9761@0.5882,199.9761,0.5882,NA,44.892826,34.438084,21.961521,56.030674,44.6833,42.543793
675.6737@0.5919,675.6737,0.5919,NA,97.16756,92.96697,34.423485,72.86145,66.538445,84.3013
493.3259@0.6058,493.3259,0.6058,NA,29.376165,13.621374,18.221167,10.978998,10.743847,26.556974
492.3218@0.6086,492.3218,0.6086,NA,117.442986,123.79146,120.4385,120.63892,50.38703,107.18125
100.0753@0.6104,100.0753,0.6104,NA,971.8508,1053.9427,918.8595,2251.8347,712.30676,1055.8384
438.2654@0.6114,438.2654,0.6114,NA,42.94501,22.56712,20.454437,40.84687,49.19969,23.13174
101.0784@0.6216,101.0784,0.6216,NA,55.413303,45.280674,61.6554,60.334316,9.558443,39.22206
97.9685@0.6225,97.9685,0.6225,NA,23.583092,178.28215,38.94704,27.37935,445.3503,5.3015833
201.1024@0.629,201.1024,0.629,NA,75.0798,35.792473,108.09571,81.187294,200.14885,51.44471
146.9799@0.6308,146.9799,0.6308,NA,311.02457,610.37415,109.778755,278.10898,278.5811,265.8034
725.3917@0.6336,725.3917,0.6336,NA,8.332239,24.293907,7.4589434,23.517511,48.3272,16.299828
697.3618@0.6355,697.3618,0.6355,NA,135.25693,101.32812,69.03316,129.88246,212.51057,111.80117
698.3648@0.6355,698.3648,0.6355,NA,49.343853,29.754824,15.186153,37.361702,65.48811,41.086594
795.4349@0.6355,795.4349,0.6355,NA,135.96349,139.37538,123.28705,91.33347,178.42107,141.13922
669.332@0.6364,669.332,0.6364,NA,226.06796,228.56493,144.68626,206.774,263.6993,222.83513
767.4043@0.6364,767.4043,0.6364,NA,189.63878,203.39128,156.04965,196.91106,244.59865,221.24968
642.3038@0.6373,642.3038,0.6373,NA,42.150238,44.419254,17.380333,27.115084,35.838585,28.740997
739.3737@0.6373,739.3737,0.6373,NA,310.6663,289.24344,234.37411,297.92508,333.1098,309.9142
762.2144@0.6391,762.2144,0.6391,NA,0,59.484467,17.715172,51.330235,39.1034,0
760.2175@0.6392,760.2175,0.6392,NA,11.283886,258.56595,103.719826,247.50229,192.80661,24.745876
741.3836@0.6392,741.3836,0.6392,NA,67.91521,74.50192,39.87122,68.61915,74.18869,71.75718
769.4144@0.6392,769.4144,0.6392,NA,43.74571,52.30234,35.441635,42.17108,65.938156,50.077934
761.2163@0.6397,761.2163,0.6397,NA,0,125.27224,44.663513,129.5306,79.32768,2.871111
684.2008@0.6401,684.2008,0.6401,NA,47.622105,372.43887,170.9004,986.56696,596.0689,38.556286
711.3428@0.6401,711.3428,0.6401,NA,293.59412,289.07275,235.68492,314.88904,310.81775,323.31723
759.2196@0.6401,759.2196,0.6401,NA,11.846106,324.42477,148.37871,297.00665,222.48424,36.48033
758.2192@0.6401,758.2192,0.6401,NA,16.80358,470.96295,190.16687,454.78586,304.3214,39.86978
744.3302@0.6401,744.3302,0.6401,NA,23.880493,21.690752,8.097351,23.609276,33.27854,22.479069
641.3008@0.641,641.3008,0.641,NA,120.4527,138.79333,78.25559,156.89622,135.53877,159.55583
686.1987@0.641,686.1987,0.641,NA,21.288862,179.89609,88.657524,475.67816,300.07648,17.306192
684.313@0.641,684.313,0.641,NA,62.030186,72.24906,43.48176,67.44436,84.845375,69.17281
720.5145@0.641,720.5145,0.641,NA,70.16636,60.83334,54.550674,65.62788,73.50354,71.96179
688.1964@0.6419,688.1964,0.6419,NA,0,33.590523,7.5727797,90.3416,56.98784,0
613.2696@0.6419,613.2696,0.6419,NA,50.498703,46.83816,34.848465,49.36885,59.345036,51.970863
683.3116@0.6419,683.3116,0.6419,NA,196.88452,198.0923,163.83986,223.76175,228.29343,233.2221
685.2012@0.642,685.2012,0.642,NA,40.360355,232.92159,94.73248,639.8568,394.86957,23.172026
736.54@0.6419,736.54,0.6419,NA,387.904,390.87686,331.5108,383.96616,395.62207,396.12024
719.5134@0.642,719.5134,0.642,NA,89.9735,80.75157,61.78983,76.05116,91.62196,89.50426
750.4044@0.6419,750.4044,0.6419,NA,686.89703,624.6039,520.7232,770.424,561.269,494.2285
752.4043@0.6419,752.4043,0.6419,NA,336.86258,306.0015,280.87122,409.67355,281.72256,264.21695
724.5303@0.642,724.5303,0.642,NA,298.5377,279.76517,246.81068,290.21194,277.92224,285.6123
754.4082@0.642,754.4082,0.642,NA,29.624441,28.830276,22.751904,29.780376,12.233017,16.33242
548.5008@0.6429,548.5008,0.6429,NA,93.05704,69.22419,37.78604,75.58139,91.37573,97.3955
610.1823@0.6429,610.1823,0.6429,NA,172.51183,661.4086,164.87805,1510.6653,936.12256,132.95842
611.1818@0.6429,611.1818,0.6429,NA,112.370575,372.10062,114.23704,888.6876,527.3695,89.040146
705.4982@0.6429,705.4982,0.6429,NA,741.61914,659.15186,623.3406,683.74005,746.1612,721.78296
713.3527@0.6429,713.3527,0.6429,NA,52.730606,40.069305,41.63808,49.073414,58.67327,61.796642
722.5251@0.6429,722.5251,0.6429,NA,2441.2075,2317.5596,2174.0166,2215.852,2512.5332,2429.0447
727.4799@0.6429,727.4799,0.6429,NA,52.773056,46.415123,32.846317,44.229733,46.845703,47.28489
792.6022@0.6429,792.6022,0.6429,NA,69.708916,60.52367,37.93459,76.12505,69.93717,77.20818
700.2322@0.643,700.2322,0.643,NA,0,23.15359,10.834036,55.199432,20.470152,2.9334636
612.1801@0.6438,612.1801,0.6438,NA,69.28887,256.0287,69.77946,643.1133,379.6436,54.870728
647.4566@0.6438,647.4566,0.6438,NA,203.7274,201.59703,196.97179,245.88414,176.90071,204.77328
725.5312@0.6438,725.5312,0.6438,NA,37.94572,49.47319,45.43832,40.914444,46.93378,44.202168
765.5695@0.6438,765.5695,0.6438,NA,38.528465,68.53858,33.880497,65.19834,56.593994,50.46984
614.1763@0.6442,614.1763,0.6442,NA,9.729908,36.583305,3.0885086,102.666016,60.89261,0
