id,mz,rt,ms1_isotopes,S110,S111,S144,S134,S98,S99
M39T265,38.9629834734021,264.58699999999,NA,294087.497120949,281725.052106618,287078.95856313,288570.432322877,291325.801625071,283106.324589313
M39T153,38.9630217676501,152.6455,NA,7118.29947877171,5716.93684605363,6051.80935483584,5683.97023474666,6058.61603345358,5997.09556613159
M41T265,40.9610404958474,264.58699999999,NA,22137.4572517719,22010.973077471,23962.9843411463,24666.8268276084,26449.4749013479,24781.9914499789
M41T321,41.0383692551896,320.97400000002,NA,4437.23794745705,8170.5851021276,6753.65644613539,5087.94752694469,6269.81339770157,4159.54847373737
M42T51,42.0335127854852,51.047,NA,7081.67753214312,5047.35378404114,4545.26052177722,4985.53846211952,6108.91347421904,5044.86670117215
M43T297,43.0177093131948,296.61799999998,NA,31679.9902253027,30896.3389869354,31626.1048851691,28695.0200268272,28724.0124183637,29023.4117914764
M44T341,44.049277864808,340.9935,NA,65945.4268308948,71657.4191935742,69563.4579733892,81039.1411013422,82643.1593333903,61529.1723698444
M45T297,45.0333213603713,296.78449999999,NA,18910.0989663206,18155.5112157253,15962.5531267353,16964.4219082861,17449.7302524563,15385.6977905851
M45T203,45.0333246903081,202.866,NA,8568.73621432199,7477.79082762451,8050.46916478345,5839.88902222631,7039.85831359863,7241.74190906215
M45T251,45.0445580161367,250.907,NA,3650.68101090771,2801.8258440208,2161.18942579981,2522.97176023236,2845.39895122562,3120.84012780403
M46T389,46.0286446445332,388.68199999998,NA,4636.09542696286,5342.6921309391,5014.5001493907,5513.20977931255,4300.78039605685,4307.73546177244
M55T274,55.0540673840041,274.263,NA,89779.8015243307,85759.0956540037,83506.9821898563,85373.9377610561,101425.182821963,86668.3027449297
M56T274,56.0494436994194,274.26300000001,NA,97382.6370060026,93021.6571131175,93240.2626262193,98586.4856322253,103691.133006479,94713.3046145095
M56T67,56.0493633602128,66.73050000001,NA,12135.4417830493,10891.6490177217,11216.0697584042,11813.5470377632,10791.83685722,11375.6928204514
M58T321,58.065211082039,321.23599999998,NA,1330446.54485925,2157651.41915882,1930778.4818208,1519319.39849014,1999604.96250117,949709.707672407
